symbol,name,sector,market_cap
APTUS,Aptus Value Housing Finance India Limited,Financial Services,135200530432.0
AQYLON,Aqylon Nexus Limited,Communication Services,11288472576.0
ARCHIDPLY,Archidply Industries Limited,Basic Materials,1676248832.0
ARCHIES,Archies Limited,Consumer Cyclical,494876992.0
ARE&M,Amara Raja Energy & Mobility Limited,Industrials,156834430976.0
ARENTERP,Rajdarshan Industries Limited,Basic Materials,123241680.0
ARFIN,Arfin India Limited,Basic Materials,16187235328.0
ARIES,Aries Agro Limited,Basic Materials,4387663872.0
ARIHANT,Arihant Foundations & Housing Limited,Real Estate,9400404992.0
ARIHANTCAP,Arihant Capital Markets Limited,Financial Services,7783576576.0
ARIHANTSUP,Arihant Superstructures Limited,Real Estate,11610461184.0
ARIS,Arisinfra Solutions Limited,Industrials,9809715200.0
ARKADE,Arkade Developers Limited,Real Estate,22413312000.0
ARMANFIN,Arman Financial Services Limited,Financial Services,16991853568.0
AROGRANITE,Aro Granite Industries Limited,Industrials,399330016.0
ARROWGREEN,Arrow Greentech Limited,Consumer Cyclical,9149326336.0
ARSSBL,Anand Rathi Share and Stock Brokers Limited,Financial Services,35127705600.0
ARTEMISMED,Artemis Medicare Services Limited,,
ARTNIRMAN,Art Nirman Limited,Real Estate,1001983424.0
ARVEE,Arvee Laboratories (India) Limited,Basic Materials,1867890048.0
ARVIND,Arvind Limited,Consumer Cyclical,134805553152.0
ARVINDFASN,Arvind Fashions Limited,Consumer Cyclical,63519535104.0
ARVSMART,Arvind SmartSpaces Limited,Real Estate,28104992768.0
ASAHIINDIA,Asahi India Glass Limited,Consumer Cyclical,219288387584.0
ASAHISONG,Asahi Songwon Colors Limited,Basic Materials,3046889216.0
ASAL,Automotive Stampings and Assemblies Limited,Consumer Cyclical,8539804672.0
ASALCBR,Associated Alcohols & Breweries Ltd.,Consumer Defensive,17086395392.0
ASHAPURMIN,Ashapura Minechem Limited,Basic Materials,67059318784.0
ASHIANA,Ashiana Housing Limited,Real Estate,38822699008.0
ASHIKA,Ashika Credit Capital Limited,,
ASHIMASYN,Ashima Limited,Real Estate,3058894848.0
ASHOKA,Ashoka Buildcon Limited,Industrials,38964383744.0
ASHOKAMET,Ashoka Metcast Limited,Basic Materials,384938400.0
ASHOKLEY,Ashok Leyland Limited,Industrials,910095024128.0
ASIANENE,Asian Energy Services Limited,Energy,18544369664.0
ASIANHOTNR,Asian Hotels (North) Limited,Consumer Cyclical,12821943296.0
ASIANPAINT,Asian Paints Limited,Basic Materials,2567440957440.0
ASIANTILES,Asian Granito India Limited,Industrials,16697488384.0
ASKAUTOLTD,ASK Automotive Limited,Consumer Cyclical,92262735872.0
ASMS,Avio Smart Market Stack Limited,Technology,2326966272.0
ASPINWALL,Aspinwall and Company Limited,Consumer Defensive,1924862464.0
ASTAR,Asian Star Company Limited,,
ASTEC,Astec LifeSciences Limited,Basic Materials,17446991872.0
ASTERDM,Aster DM Healthcare Limited,Healthcare,404608483328.0
ASTRAL,Astral Limited,Industrials,420437524480.0
ASTRAMICRO,Astra Microwave Products Limited,Technology,157646700544.0
ASTRAZEN,AstraZeneca Pharma India Limited,Healthcare,218149994496.0
ASTRON,Astron Paper & Board Mill Limited,Basic Materials,181014592.0
ATALREAL,Atal Realtech Limited,Industrials,3698302976.0
ATAM,Atam Valves Limited,Industrials,821897088.0
ATGL,Adani Total Gas Limited,Utilities,802641346560.0
ATHERENERG,Ather Energy Limited,Consumer Cyclical,371014336512.0
ATL,Allcargo Terminals Limited,Industrials,7235192832.0
ATLANTAA,ATLANTAA LIMITED,Industrials,3403439872.0
ATLANTAELE,Atlanta Electricals Limited,Industrials,148102905856.0
ATLASCYCLE,Atlas Cycles (Haryana) Limited,Consumer Cyclical,646026240.0
ATUL,Atul Limited,Basic Materials,193903411200.0
ATULAUTO,Atul Auto Limited,Consumer Cyclical,13141618688.0
AUBANK,AU Small Finance Bank Limited,Financial Services,777657057280.0
AURIGROW,Auri Grow India Limited,Industrials,226521600.0
AURIONPRO,Aurionpro Solutions Limited,Technology,50216701952.0
AUROPHARMA,Aurobindo Pharma Limited,Healthcare,873999040512.0
AURUM,Aurum PropTech Limited,Real Estate,16164029440.0
AUSOMENT,Ausom Enterprise Limited,Financial Services,1593819264.0
AUTOAXLES,Automotive Axles Limited,Consumer Cyclical,27125987328.0
AUTOIND,Autoline Industries Limited,Consumer Cyclical,3659526144.0
AVADHSUGAR,Avadh Sugar & Energy Limited,Consumer Defensive,9044322304.0
AVALON,Avalon Technologies Limited,Technology,115489284096.0
AVANTEL,Avantel Limited,Technology,46180544512.0
AVANTIFEED,Avanti Feeds Limited,Consumer Defensive,129923833856.0
AVG,AVG Logistics Limited,Industrials,3527969024.0
AVL,Aditya Vision Limited,Consumer Cyclical,79671721984.0
